ticker,observations,last_observation,train_end
VICO,1753,2021-12-30,2021-12-31
VINS,1564,2021-12-30,2021-12-31
VIVA,1752,2021-12-30,2021-12-31
VOKS,1752,2021-12-30,2021-12-31
VRNA,1753,2021-12-30,2021-12-31
WAPO,1753,2021-12-30,2021-12-31
WEGE,1029,2021-12-30,2021-12-31
WEHA,1753,2021-12-30,2021-12-31
WICO,1753,2021-12-30,2021-12-31
WIIM,1752,2021-12-30,2021-12-31
WIKA,1752,2021-12-30,2021-12-31
WINS,1753,2021-12-30,2021-12-31
WOMF,1753,2021-12-30,2021-12-31
WOOD,1144,2021-12-30,2021-12-31
WOWS,524,2021-12-30,2021-12-31
WSBP,1332,2021-12-30,2021-12-31
WTON,1744,2021-12-30,2021-12-31
YELO,793,2021-12-30,2021-12-31
YPAS,1752,2021-12-30,2021-12-31
YULE,1752,2021-12-30,2021-12-31
