ticker,observations,last_observation
POLL,870,2021-12-30
POLU,621,2021-12-30
POLY,1753,2021-12-30
PORT,1208,2021-12-30
POWR,1395,2021-12-30
PPGL,355,2021-12-30
PPRE,1034,2021-12-30
PPRO,1658,2021-12-30
PRDA,1274,2021-12-30
PRIM,909,2021-12-30
PSAB,1752,2021-12-30
PSDN,1753,2021-12-30
PSGO,513,2021-12-30
PSKT,1753,2021-12-30
PSSI,1026,2021-12-30
PTBA,1752,2021-12-30
PTIS,1753,2021-12-30
PTPP,1752,2021-12-30
PTPW,463,2021-12-30
PTRO,1753,2021-12-30
PTSN,1753,2021-12-30
PTSP,1753,2021-12-30
PUDP,1753,2021-12-30
PURA,470,2021-12-30
PURI,323,2021-12-30
PWON,1752,2021-12-30
PYFA,1752,2021-12-30
PZZA,905,2021-12-30
RAJA,1753,2021-12-30
RALS,1753,2021-12-30
RANC,1752,2021-12-30
RBMS,1752,2021-12-30
RDTX,1753,2021-12-30
REAL,504,2021-12-30
RELI,1753,2021-12-30
RICY,1752,2021-12-30
RIGS,1752,2021-12-30
RISE,873,2021-12-30
ROCK,321,2021-12-30
RODA,1752,2021-12-30
RONY,420,2021-12-30
ROTI,1752,2021-12-30
RUIS,1753,2021-12-30
SAFE,1753,2021-12-30
SAME,1753,2021-12-30
SAMF,427,2021-12-30
SAPX,811,2021-12-30
SATU,788,2021-12-30
SBAT,421,2021-12-30
SCCO,1753,2021-12-30
SCMA,1753,2021-12-30
SCNP,324,2021-12-30
SDMU,1753,2021-12-30
SDPC,1752,2021-12-30
SDRA,1753,2021-12-30
SFAN,625,2021-12-30
SGER,341,2021-12-30
SGRO,1752,2021-12-30
SHID,1753,2021-12-30
SHIP,1393,2021-12-30
SIDO,1745,2021-12-30
SILO,1745,2021-12-30
SIMP,1752,2021-12-30
SINI,524,2021-12-30
SIPD,1753,2021-12-30
SKBM,1752,2021-12-30
SKLT,1753,2021-12-30
SKRN,805,2021-12-30
SLIS,548,2021-12-30
SMAR,1753,2021-12-30
SMBR,1744,2021-12-30
SMCB,1753,2021-12-30
SMDM,1753,2021-12-30
SMDR,1753,2021-12-30
SMGR,1753,2021-12-30
SMKL,610,2021-12-30
SMMA,1753,2021-12-30
SMMT,1753,2021-12-30
SMRA,1753,2021-12-30
SMSM,1753,2021-12-30
SOCI,1744,2021-12-30
SOFA,364,2021-12-30
SOHO,323,2021-12-30
SONA,1753,2021-12-30
SOSS,786,2021-12-30
SOTS,761,2021-12-30
SPMA,1753,2021-12-30
SPTO,912,2021-12-30
SQMI,1752,2021-12-30
SRAJ,1753,2021-12-30
SRSN,1753,2021-12-30
SRTG,1752,2021-12-30
SSIA,1752,2021-12-30
SSMS,1744,2021-12-30
SSTM,1753,2021-12-30
STAR,1753,2021-12-30
STTP,1753,2021-12-30
SULI,1752,2021-12-30
SUPR,1753,2021-12-30
SURE,809,2021-12-30
SWAT,885,2021-12-30
TALF,1744,2021-12-30
TAMA,462,2021-12-30
TAMU,1174,2021-12-30
TARA,1753,2021-12-30
TAXI,1752,2021-12-30
TBIG,1753,2021-12-30
TBLA,1753,2021-12-30
TBMS,1753,2021-12-30
TCID,1753,2021-12-30
TCPI,873,2021-12-30
TEBE,518,2021-12-30
TELE,1752,2021-12-30
TFAS,562,2021-12-30
TFCO,1753,2021-12-30
TGKA,1753,2021-12-30
TGRA,1171,2021-12-30
TIFA,1753,2021-12-30
TINS,1752,2021-12-30
TIRA,1753,2021-12-30
TIRT,1752,2021-12-30
TKIM,1752,2021-12-30
TLKM,1752,2021-12-30
TMAS,1753,2021-12-30
TMPO,1752,2021-12-30
TNCA,880,2021-12-30
TOBA,1752,2021-12-30
TOPS,1147,2021-12-30
TOTL,1752,2021-12-30
TOTO,1753,2021-12-30
TOWR,1752,2021-12-30
TOYS,343,2021-12-30
TPIA,1753,2021-12-30
TPMA,1752,2021-12-30
TRIM,1752,2021-12-30
TRIN,480,2021-12-30
TRIS,1753,2021-12-30
TRJA,331,2021-12-30
TRST,1753,2021-12-30
TRUK,904,2021-12-30
TRUS,1753,2021-12-30
TSPC,1753,2021-12-30
TUGU,903,2021-12-30
UANG,365,2021-12-30
UCID,494,2021-12-30
ULTJ,1752,2021-12-30
UNIC,1753,2021-12-30
UNSP,1753,2021-12-30
UNTR,1752,2021-12-30
UNVR,1753,2021-12-30
URBN,762,2021-12-30
VICO,1753,2021-12-30
VINS,1564,2021-12-30
VIVA,1752,2021-12-30
VOKS,1752,2021-12-30
VRNA,1753,2021-12-30
WAPO,1753,2021-12-30
WEGE,1029,2021-12-30
WEHA,1753,2021-12-30
WICO,1753,2021-12-30
WIIM,1752,2021-12-30
WIKA,1752,2021-12-30
WINS,1753,2021-12-30
WOMF,1753,2021-12-30
WOOD,1144,2021-12-30
WOWS,524,2021-12-30
WSBP,1332,2021-12-30
WTON,1744,2021-12-30
YELO,793,2021-12-30
YPAS,1752,2021-12-30
YULE,1752,2021-12-30
ZBRA,1753,2021-12-30
ZINC,1062,2021-12-30
ZONE,759,2021-12-30
